"","Наименование задачи","Достигнутые результаты","Личный вклад и метрики","Ссылка на рабочее пространство","Приобретенные навыки","План улучшений","Оценка взаимодействия (0-10)","Общая удовлетворенность (0-10)","Общий балл"
"Сотрудник 149","Работа над проектом E","Сократил время обработки на 6%","Запуск без багов","https://example.com/Сотрудник149","Прокачался в микросервисы","Улучшить документацию по микросервисам","10","9","3"
"Сотрудник 150","Работа над проектом L","Закрыл 11 задач из бэклога","Запуск без багов","https://example.com/Сотрудник150","Прокачался в микросервисы","Улучшить документацию по микросервисам","6","8","3"
"Сотрудник 151","Работа над проектом R","Улучшил производительность на 10%","SLA соблюдены на 98.9%","https://example.com/Сотрудник151","Прокачался в микросервисы","Улучшить документацию по базам данных","7","7","3"
"Сотрудник 152","Работа над проектом I","Снизил количество алертов на 9%","SLA соблюдены на 98.4%","https://example.com/Сотрудник152","Прокачался в контейнеризация","Улучшить документацию по API","5","8","3"
"Сотрудник 153","Работа над проектом Q","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 98.1%","https://example.com/Сотрудник153","Прокачался в CI/CD","Улучшить документацию по микросервисам","7","6","3"
"Сотрудник 154","Работа над проектом N","Закрыл 13 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник154","Прокачался в автоматизация","Улучшить документацию по API","8","9","3"
"Сотрудник 155","Работа над проектом K","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник155","Прокачался в автоматизация","Улучшить документацию по API","6","9","3"
"Сотрудник 156","Работа над проектом L","Улучшил производительность на 8%","Запуск без багов","https://example.com/Сотрудник156","Прокачался в автоматизация","Улучшить документацию по базам данных","7","5","2"
"Сотрудник 157","Работа над проектом W","Оптимизировал подписку (+5% конверсии)","Обновлена база знаний","https://example.com/Сотрудник157","Прокачался в DevOps","Улучшить документацию по процессам","9","6","3"
"Сотрудник 158","Работа над проектом H","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник158","Прокачался в оптимизация","Улучшить документацию по микросервисам","7","6","3"
"Сотрудник 159","Работа над проектом K","Улучшил производительность на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник159","Прокачался в DevOps","Улучшить документацию по микросервисам","8","10","3"
"Сотрудник 160","Работа над проектом W","Улучшил производительность на 2%","Запуск без багов","https://example.com/Сотрудник160","Прокачался в CI/CD","Улучшить документацию по API","6","8","3"
"Сотрудник 161","Работа над проектом J","Снизил количество алертов на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник161","Прокачался в микросервисы","Улучшить документацию по базам данных","9","8","3"
"Сотрудник 162","Работа над проектом F","Оптимизировал подписку (+1% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник162","Прокачался в CI/CD","Улучшить документацию по базам данных","10","6","3"
"Сотрудник 163","Работа над проектом R","Оптимизировал подписку (+3% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник163","Прокачался в микросервисы","Улучшить документацию по микросервисам","9","8","3"
"Сотрудник 164","Работа над проектом S","Снизил количество алертов на 1%","Обновлена база знаний","https://example.com/Сотрудник164","Прокачался в оптимизация","Улучшить документацию по документации","9","6","3"
"Сотрудник 165","Работа над проектом Z","Снизил количество алертов на 8%","Достигнуты целевые показатели","https://example.com/Сотрудник165","Прокачался в DevOps","Улучшить документацию по документации","8","8","3"
"Сотрудник 166","Работа над проектом G","Улучшил производительность на 9%","Соблюдены сроки всех задач","https://example.com/Сотрудник166","Прокачался в автоматизация","Улучшить документацию по микросервисам","10","8","3"
"Сотрудник 167","Работа над проектом E","Улучшил производительность на 10%","SLA соблюдены на 98.8%","https://example.com/Сотрудник167","Прокачался в оптимизация","Улучшить документацию по микросервисам","9","10","3"
"Сотрудник 168","Работа над проектом L","Снизил количество алертов на 1%","SLA соблюдены на 99.2%","https://example.com/Сотрудник168","Прокачался в CI/CD","Улучшить документацию по документации","7","8","3"
"Сотрудник 169","Работа над проектом L","Улучшил производительность на 4%","SLA соблюдены на 99.6%","https://example.com/Сотрудник169","Прокачался в CI/CD","Улучшить документацию по документации","10","9","3"
"Сотрудник 170","Работа над проектом I","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник170","Прокачался в автоматизация","Улучшить документацию по процессам","7","9","3"
"Сотрудник 171","Работа над проектом N","Снизил количество алертов на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник171","Прокачался в CI/CD","Улучшить документацию по API","10","9","3"
"Сотрудник 172","Работа над проектом Q","Снизил количество алертов на 8%","Обновлена база знаний","https://example.com/Сотрудник172","Прокачался в автоматизация","Улучшить документацию по API","9","8","3"
"Сотрудник 173","Работа над проектом J","Сократил время обработки на 17%","Соблюдены сроки всех задач","https://example.com/Сотрудник173","Прокачался в микросервисы","Улучшить документацию по микросервисам","5","9","3"
"Сотрудник 174","Работа над проектом N","Закрыл 9 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник174","Прокачался в контейнеризация","Улучшить документацию по документации","5","5","2"
"Сотрудник 175","Работа над проектом J","Сократил время обработки на 11%","Запуск без багов","https://example.com/Сотрудник175","Прокачался в DevOps","Улучшить документацию по API","8","5","3"
"Сотрудник 176","Работа над проектом Y","Сократил время обработки на 5%","SLA соблюдены на 98.8%","https://example.com/Сотрудник176","Прокачался в оптимизация","Улучшить документацию по API","6","5","2"
"Сотрудник 177","Работа над проектом I","Сократил время обработки на 6%","SLA соблюдены на 99.8%","https://example.com/Сотрудник177","Прокачался в микросервисы","Улучшить документацию по базам данных","5","5","2"
"Сотрудник 178","Работа над проектом U","Сократил время обработки на 18%","Достигнуты целевые показатели","https://example.com/Сотрудник178","Прокачался в DevOps","Улучшить документацию по документации","8","10","3"
"Сотрудник 179","Работа над проектом U","Снизил количество алертов на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник179","Прокачался в CI/CD","Улучшить документацию по микросервисам","7","5","2"
"Сотрудник 180","Работа над проектом C","Сократил время обработки на 14%","Запуск без багов","https://example.com/Сотрудник180","Прокачался в автоматизация","Улучшить документацию по документации","8","10","3"
"Сотрудник 181","Работа над проектом U","Улучшил производительность на 3%","Обновлена база знаний","https://example.com/Сотрудник181","Прокачался в DevOps","Улучшить документацию по API","6","7","3"
"Сотрудник 182","Работа над проектом I","Сократил время обработки на 5%","Запуск без багов","https://example.com/Сотрудник182","Прокачался в микросервисы","Улучшить документацию по документации","8","7","3"
"Сотрудник 183","Работа над проектом K","Оптимизировал подписку (+3% конверсии)","SLA соблюдены на 98.4%","https://example.com/Сотрудник183","Прокачался в CI/CD","Улучшить документацию по процессам","5","10","3"
"Сотрудник 184","Работа над проектом I","Сократил время обработки на 20%","Соблюдены сроки всех задач","https://example.com/Сотрудник184","Прокачался в контейнеризация","Улучшить документацию по процессам","5","10","3"
"Сотрудник 185","Работа над проектом D","Сократил время обработки на 9%","SLA соблюдены на 98.6%","https://example.com/Сотрудник185","Прокачался в оптимизация","Улучшить документацию по API","5","7","2"
"Сотрудник 186","Работа над проектом D","Улучшил производительность на 3%","Обновлена база знаний","https://example.com/Сотрудник186","Прокачался в микросервисы","Улучшить документацию по микросервисам","7","10","3"
"Сотрудник 187","Работа над проектом M","Сократил время обработки на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник187","Прокачался в микросервисы","Улучшить документацию по базам данных","7","8","3"
"Сотрудник 188","Работа над проектом K","Снизил количество алертов на 7%","Соблюдены сроки всех задач","https://example.com/Сотрудник188","Прокачался в микросервисы","Улучшить документацию по API","6","5","2"
"Сотрудник 189","Работа над проектом F","Сократил время обработки на 16%","SLA соблюдены на 99.1%","https://example.com/Сотрудник189","Прокачался в DevOps","Улучшить документацию по микросервисам","7","8","3"
"Сотрудник 190","Работа над проектом T","Оптимизировал подписку (+3% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник190","Прокачался в DevOps","Улучшить документацию по API","10","9","3"
"Сотрудник 191","Работа над проектом X","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник191","Прокачался в автоматизация","Улучшить документацию по базам данных","10","5","3"
"Сотрудник 192","Работа над проектом A","Снизил количество алертов на 8%","Обновлена база знаний","https://example.com/Сотрудник192","Прокачался в CI/CD","Улучшить документацию по API","5","6","2"
"Сотрудник 193","Работа над проектом E","Сократил время обработки на 10%","Обновлена база знаний","https://example.com/Сотрудник193","Прокачался в оптимизация","Улучшить документацию по микросервисам","5","8","3"
"Сотрудник 194","Работа над проектом Y","Улучшил производительность на 9%","Соблюдены сроки всех задач","https://example.com/Сотрудник194","Прокачался в CI/CD","Улучшить документацию по API","7","10","3"
"Сотрудник 195","Работа над проектом M","Снизил количество алертов на 2%","Соблюдены сроки всех задач","https://example.com/Сотрудник195","Прокачался в DevOps","Улучшить документацию по документации","5","5","2"
"Сотрудник 196","Работа над проектом S","Сократил время обработки на 5%","Запуск без багов","https://example.com/Сотрудник196","Прокачался в CI/CD","Улучшить документацию по процессам","9","9","3"
"Сотрудник 197","Работа над проектом V","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник197","Прокачался в оптимизация","Улучшить документацию по базам данных","9","9","3"
"Сотрудник 198","Работа над проектом Z","Оптимизировал подписку (+5% конверсии)","SLA соблюдены на 98.1%","https://example.com/Сотрудник198","Прокачался в CI/CD","Улучшить документацию по процессам","6","6","2"
"Сотрудник 199","Работа над проектом D","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник199","Прокачался в CI/CD","Улучшить документацию по документации","10","9","3"
"Сотрудник 200","Работа над проектом C","Оптимизировал подписку (+4% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник200","Прокачался в микросервисы","Улучшить документацию по API","10","6","3"
"Сотрудник 201","Работа над проектом B","Сократил время обработки на 3%","Обновлена база знаний","https://example.com/Сотрудник201","Прокачался в CI/CD","Улучшить документацию по API","10","9","3"
"Сотрудник 202","Работа над проектом Y","Снизил количество алертов на 10%","SLA соблюдены на 98.5%","https://example.com/Сотрудник202","Прокачался в DevOps","Улучшить документацию по документации","9","7","3"
"Сотрудник 203","Работа над проектом W","Снизил количество алертов на 9%","Обновлена база знаний","https://example.com/Сотрудник203","Прокачался в оптимизация","Улучшить документацию по базам данных","9","7","3"
"Сотрудник 204","Работа над проектом G","Снизил количество алертов на 7%","SLA соблюдены на 99.2%","https://example.com/Сотрудник204","Прокачался в CI/CD","Улучшить документацию по процессам","7","6","3"
"Сотрудник 205","Работа над проектом K","Снизил количество алертов на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник205","Прокачался в CI/CD","Улучшить документацию по микросервисам","6","6","2"
"Сотрудник 206","Работа над проектом K","Закрыл 20 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник206","Прокачался в CI/CD","Улучшить документацию по API","7","8","3"
"Сотрудник 207","Работа над проектом M","Улучшил производительность на 5%","Соблюдены сроки всех задач","https://example.com/Сотрудник207","Прокачался в CI/CD","Улучшить документацию по микросервисам","6","6","2"
"Сотрудник 208","Работа над проектом H","Снизил количество алертов на 2%","Достигнуты целевые показатели","https://example.com/Сотрудник208","Прокачался в CI/CD","Улучшить документацию по базам данных","10","6","3"
"Сотрудник 209","Работа над проектом G","Улучшил производительность на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник209","Прокачался в CI/CD","Улучшить документацию по API","7","7","3"
"Сотрудник 210","Работа над проектом E","Улучшил производительность на 10%","SLA соблюдены на 98.2%","https://example.com/Сотрудник210","Прокачался в оптимизация","Улучшить документацию по микросервисам","10","8","3"
"Сотрудник 211","Работа над проектом A","Сократил время обработки на 2%","Запуск без багов","https://example.com/Сотрудник211","Прокачался в DevOps","Улучшить документацию по документации","8","7","3"
"Сотрудник 212","Работа над проектом L","Сократил время обработки на 15%","Достигнуты целевые показатели","https://example.com/Сотрудник212","Прокачался в микросервисы","Улучшить документацию по процессам","10","8","3"
"Сотрудник 213","Работа над проектом E","Улучшил производительность на 2%","SLA соблюдены на 98.3%","https://example.com/Сотрудник213","Прокачался в оптимизация","Улучшить документацию по микросервисам","6","7","3"
"Сотрудник 214","Работа над проектом N","Снизил количество алертов на 4%","Достигнуты целевые показатели","https://example.com/Сотрудник214","Прокачался в автоматизация","Улучшить документацию по документации","9","5","3"
"Сотрудник 215","Работа над проектом X","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник215","Прокачался в CI/CD","Улучшить документацию по базам данных","9","6","3"
"Сотрудник 216","Работа над проектом L","Закрыл 12 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник216","Прокачался в автоматизация","Улучшить документацию по процессам","6","6","2"
"Сотрудник 217","Работа над проектом B","Оптимизировал подписку (+4% конверсии)","Запуск без багов","https://example.com/Сотрудник217","Прокачался в микросервисы","Улучшить документацию по микросервисам","7","7","3"
"Сотрудник 218","Работа над проектом D","Закрыл 10 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник218","Прокачался в DevOps","Улучшить документацию по микросервисам","10","5","3"
"Сотрудник 219","Работа над проектом J","Снизил количество алертов на 9%","Соблюдены сроки всех задач","https://example.com/Сотрудник219","Прокачался в автоматизация","Улучшить документацию по процессам","5","6","2"
"Сотрудник 220","Работа над проектом Y","Улучшил производительность на 2%","Запуск без багов","https://example.com/Сотрудник220","Прокачался в автоматизация","Улучшить документацию по микросервисам","7","10","3"
"Сотрудник 221","Работа над проектом X","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник221","Прокачался в автоматизация","Улучшить документацию по базам данных","7","5","2"
"Сотрудник 222","Работа над проектом F","Улучшил производительность на 3%","Запуск без багов","https://example.com/Сотрудник222","Прокачался в контейнеризация","Улучшить документацию по микросервисам","10","8","3"
"Сотрудник 223","Работа над проектом S","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 99.3%","https://example.com/Сотрудник223","Прокачался в DevOps","Улучшить документацию по документации","8","10","3"
"Сотрудник 224","Работа над проектом Z","Оптимизировал подписку (+2% конверсии)","SLA соблюдены на 99.2%","https://example.com/Сотрудник224","Прокачался в автоматизация","Улучшить документацию по базам данных","8","5","3"
"Сотрудник 225","Работа над проектом K","Оптимизировал подписку (+1% конверсии)","SLA соблюдены на 98.2%","https://example.com/Сотрудник225","Прокачался в оптимизация","Улучшить документацию по API","10","9","3"
"Сотрудник 226","Работа над проектом E","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник226","Прокачался в микросервисы","Улучшить документацию по микросервисам","10","7","3"
"Сотрудник 227","Работа над проектом J","Оптимизировал подписку (+1% конверсии)","Обновлена база знаний","https://example.com/Сотрудник227","Прокачался в DevOps","Улучшить документацию по API","6","10","3"
"Сотрудник 228","Работа над проектом G","Оптимизировал подписку (+3% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник228","Прокачался в микросервисы","Улучшить документацию по документации","7","10","3"
"Сотрудник 229","Работа над проектом J","Снизил количество алертов на 9%","Достигнуты целевые показатели","https://example.com/Сотрудник229","Прокачался в микросервисы","Улучшить документацию по микросервисам","7","5","2"
"Сотрудник 230","Работа над проектом C","Сократил время обработки на 16%","SLA соблюдены на 98.1%","https://example.com/Сотрудник230","Прокачался в микросервисы","Улучшить документацию по процессам","10","8","3"
"Сотрудник 231","Работа над проектом Q","Закрыл 13 задач из бэклога","Запуск без багов","https://example.com/Сотрудник231","Прокачался в контейнеризация","Улучшить документацию по API","8","8","3"
"Сотрудник 232","Работа над проектом T","Сократил время обработки на 5%","Обновлена база знаний","https://example.com/Сотрудник232","Прокачался в DevOps","Улучшить документацию по микросервисам","6","10","3"
"Сотрудник 233","Работа над проектом C","Улучшил производительность на 10%","Достигнуты целевые показатели","https://example.com/Сотрудник233","Прокачался в DevOps","Улучшить документацию по базам данных","7","7","3"
"Сотрудник 234","Работа над проектом Y","Снизил количество алертов на 6%","Запуск без багов","https://example.com/Сотрудник234","Прокачался в микросервисы","Улучшить документацию по процессам","8","9","3"
"Сотрудник 235","Работа над проектом H","Снизил количество алертов на 7%","SLA соблюдены на 98.7%","https://example.com/Сотрудник235","Прокачался в DevOps","Улучшить документацию по API","8","7","3"
"Сотрудник 236","Работа над проектом H","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник236","Прокачался в контейнеризация","Улучшить документацию по микросервисам","9","9","3"
"Сотрудник 237","Работа над проектом V","Улучшил производительность на 3%","Обновлена база знаний","https://example.com/Сотрудник237","Прокачался в оптимизация","Улучшить документацию по базам данных","5","6","2"
"Сотрудник 238","Работа над проектом S","Оптимизировал подписку (+1% конверсии)","Запуск без багов","https://example.com/Сотрудник238","Прокачался в оптимизация","Улучшить документацию по API","9","8","3"
"Сотрудник 239","Работа над проектом T","Закрыл 14 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник239","Прокачался в CI/CD","Улучшить документацию по базам данных","5","6","2"
"Сотрудник 240","Работа над проектом I","Сократил время обработки на 8%","Запуск без багов","https://example.com/Сотрудник240","Прокачался в CI/CD","Улучшить документацию по документации","6","5","2"
"Сотрудник 241","Работа над проектом J","Сократил время обработки на 11%","Запуск без багов","https://example.com/Сотрудник241","Прокачался в оптимизация","Улучшить документацию по базам данных","9","5","3"
"Сотрудник 242","Работа над проектом I","Закрыл 14 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник242","Прокачался в CI/CD","Улучшить документацию по процессам","5","10","3"
"Сотрудник 243","Работа над проектом L","Оптимизировал подписку (+5% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник243","Прокачался в микросервисы","Улучшить документацию по процессам","9","10","3"
"Сотрудник 244","Работа над проектом F","Снизил количество алертов на 2%","Обновлена база знаний","https://example.com/Сотрудник244","Прокачался в микросервисы","Улучшить документацию по процессам","7","10","3"
"Сотрудник 245","Работа над проектом M","Снизил количество алертов на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник245","Прокачался в микросервисы","Улучшить документацию по документации","10","10","3"
"Сотрудник 246","Работа над проектом D","Закрыл 17 задач из бэклога","Запуск без багов","https://example.com/Сотрудник246","Прокачался в автоматизация","Улучшить документацию по базам данных","5","10","3"
"Сотрудник 247","Работа над проектом B","Улучшил производительность на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник247","Прокачался в DevOps","Улучшить документацию по документации","10","6","3"
"Сотрудник 248","Работа над проектом N","Улучшил производительность на 5%","SLA соблюдены на 99.5%","https://example.com/Сотрудник248","Прокачался в оптимизация","Улучшить документацию по процессам","6","5","2"
"Сотрудник 249","Работа над проектом Y","Улучшил производительность на 9%","Запуск без багов","https://example.com/Сотрудник249","Прокачался в автоматизация","Улучшить документацию по API","8","9","3"
"Сотрудник 250","Работа над проектом T","Снизил количество алертов на 3%","SLA соблюдены на 98.6%","https://example.com/Сотрудник250","Прокачался в DevOps","Улучшить документацию по микросервисам","8","5","3"
"Сотрудник 251","Работа над проектом M","Сократил время обработки на 18%","Запуск без багов","https://example.com/Сотрудник251","Прокачался в оптимизация","Улучшить документацию по API","8","6","3"
"Сотрудник 252","Работа над проектом K","Оптимизировал подписку (+5% конверсии)","SLA соблюдены на 99.8%","https://example.com/Сотрудник252","Прокачался в контейнеризация","Улучшить документацию по процессам","6","5","2"
"Сотрудник 253","Работа над проектом S","Сократил время обработки на 7%","Запуск без багов","https://example.com/Сотрудник253","Прокачался в микросервисы","Улучшить документацию по базам данных","7","7","3"
"Сотрудник 254","Работа над проектом X","Снизил количество алертов на 3%","Запуск без багов","https://example.com/Сотрудник254","Прокачался в автоматизация","Улучшить документацию по микросервисам","9","9","3"
"Сотрудник 255","Работа над проектом N","Снизил количество алертов на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник255","Прокачался в DevOps","Улучшить документацию по API","6","7","3"
"Сотрудник 256","Работа над проектом I","Снизил количество алертов на 9%","SLA соблюдены на 98.7%","https://example.com/Сотрудник256","Прокачался в микросервисы","Улучшить документацию по документации","7","7","3"
"Сотрудник 257","Работа над проектом N","Оптимизировал подписку (+5% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник257","Прокачался в DevOps","Улучшить документацию по базам данных","10","5","3"
"Сотрудник 258","Работа над проектом C","Улучшил производительность на 10%","Обновлена база знаний","https://example.com/Сотрудник258","Прокачался в DevOps","Улучшить документацию по микросервисам","5","7","2"
"Сотрудник 259","Работа над проектом O","Улучшил производительность на 7%","SLA соблюдены на 98.2%","https://example.com/Сотрудник259","Прокачался в CI/CD","Улучшить документацию по процессам","8","5","3"
"Сотрудник 260","Работа над проектом L","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 99.4%","https://example.com/Сотрудник260","Прокачался в микросервисы","Улучшить документацию по API","6","8","3"
"Сотрудник 261","Работа над проектом P","Оптимизировал подписку (+3% конверсии)","Обновлена база знаний","https://example.com/Сотрудник261","Прокачался в контейнеризация","Улучшить документацию по микросервисам","6","6","2"
"Сотрудник 262","Работа над проектом A","Сократил время обработки на 7%","Соблюдены сроки всех задач","https://example.com/Сотрудник262","Прокачался в DevOps","Улучшить документацию по процессам","10","7","3"
"Сотрудник 263","Работа над проектом M","Снизил количество алертов на 2%","SLA соблюдены на 98.3%","https://example.com/Сотрудник263","Прокачался в DevOps","Улучшить документацию по API","6","6","2"
"Сотрудник 264","Работа над проектом M","Оптимизировал подписку (+5% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник264","Прокачался в CI/CD","Улучшить документацию по процессам","7","7","3"
"Сотрудник 265","Работа над проектом S","Снизил количество алертов на 3%","SLA соблюдены на 99.1%","https://example.com/Сотрудник265","Прокачался в контейнеризация","Улучшить документацию по микросервисам","6","7","3"
"Сотрудник 266","Работа над проектом Q","Улучшил производительность на 3%","SLA соблюдены на 98.3%","https://example.com/Сотрудник266","Прокачался в контейнеризация","Улучшить документацию по микросервисам","10","6","3"
"Сотрудник 267","Работа над проектом D","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 99.6%","https://example.com/Сотрудник267","Прокачался в DevOps","Улучшить документацию по микросервисам","8","7","3"
"Сотрудник 268","Работа над проектом H","Снизил количество алертов на 8%","SLA соблюдены на 99.0%","https://example.com/Сотрудник268","Прокачался в микросервисы","Улучшить документацию по процессам","10","5","3"
"Сотрудник 269","Работа над проектом B","Сократил время обработки на 7%","SLA соблюдены на 99.8%","https://example.com/Сотрудник269","Прокачался в DevOps","Улучшить документацию по базам данных","9","8","3"
"Сотрудник 270","Работа над проектом W","Оптимизировал подписку (+2% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник270","Прокачался в микросервисы","Улучшить документацию по базам данных","10","10","3"
"Сотрудник 271","Работа над проектом A","Сократил время обработки на 20%","Соблюдены сроки всех задач","https://example.com/Сотрудник271","Прокачался в контейнеризация","Улучшить документацию по процессам","8","8","3"
"Сотрудник 272","Работа над проектом C","Закрыл 7 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник272","Прокачался в микросервисы","Улучшить документацию по API","7","10","3"
"Сотрудник 273","Работа над проектом N","Сократил время обработки на 19%","Запуск без багов","https://example.com/Сотрудник273","Прокачался в CI/CD","Улучшить документацию по API","5","8","3"
"Сотрудник 274","Работа над проектом E","Оптимизировал подписку (+2% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник274","Прокачался в автоматизация","Улучшить документацию по процессам","10","7","3"
"Сотрудник 275","Работа над проектом C","Оптимизировал подписку (+1% конверсии)","SLA соблюдены на 99.3%","https://example.com/Сотрудник275","Прокачался в DevOps","Улучшить документацию по базам данных","10","7","3"
"Сотрудник 276","Работа над проектом H","Снизил количество алертов на 8%","Достигнуты целевые показатели","https://example.com/Сотрудник276","Прокачался в оптимизация","Улучшить документацию по базам данных","6","7","3"
"Сотрудник 277","Работа над проектом T","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник277","Прокачался в CI/CD","Улучшить документацию по API","7","8","3"
"Сотрудник 278","Работа над проектом K","Закрыл 15 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник278","Прокачался в CI/CD","Улучшить документацию по микросервисам","9","5","3"
"Сотрудник 279","Работа над проектом G","Сократил время обработки на 5%","SLA соблюдены на 98.8%","https://example.com/Сотрудник279","Прокачался в CI/CD","Улучшить документацию по микросервисам","8","10","3"
"Сотрудник 280","Работа над проектом X","Закрыл 7 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник280","Прокачался в CI/CD","Улучшить документацию по документации","9","6","3"
"Сотрудник 281","Работа над проектом M","Сократил время обработки на 5%","SLA соблюдены на 98.4%","https://example.com/Сотрудник281","Прокачался в контейнеризация","Улучшить документацию по микросервисам","8","7","3"
"Сотрудник 282","Работа над проектом B","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник282","Прокачался в CI/CD","Улучшить документацию по микросервисам","7","10","3"
"Сотрудник 283","Работа над проектом D","Закрыл 12 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник283","Прокачался в микросервисы","Улучшить документацию по API","7","8","3"
"Сотрудник 284","Работа над проектом F","Сократил время обработки на 14%","Запуск без багов","https://example.com/Сотрудник284","Прокачался в DevOps","Улучшить документацию по документации","7","7","3"
"Сотрудник 285","Работа над проектом V","Закрыл 8 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник285","Прокачался в контейнеризация","Улучшить документацию по базам данных","10","7","3"
"Сотрудник 286","Работа над проектом V","Сократил время обработки на 7%","Обновлена база знаний","https://example.com/Сотрудник286","Прокачался в автоматизация","Улучшить документацию по процессам","9","8","3"
"Сотрудник 287","Работа над проектом O","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник287","Прокачался в контейнеризация","Улучшить документацию по базам данных","5","7","2"
"Сотрудник 288","Работа над проектом C","Закрыл 19 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник288","Прокачался в CI/CD","Улучшить документацию по API","10","6","3"
"Сотрудник 289","Работа над проектом X","Сократил время обработки на 18%","Запуск без багов","https://example.com/Сотрудник289","Прокачался в микросервисы","Улучшить документацию по процессам","6","9","3"
"Сотрудник 290","Работа над проектом C","Оптимизировал подписку (+5% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник290","Прокачался в контейнеризация","Улучшить документацию по процессам","8","10","3"
"Сотрудник 291","Работа над проектом K","Закрыл 19 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник291","Прокачался в микросервисы","Улучшить документацию по процессам","5","8","3"
"Сотрудник 292","Работа над проектом C","Сократил время обработки на 10%","Запуск без багов","https://example.com/Сотрудник292","Прокачался в CI/CD","Улучшить документацию по API","5","6","2"
"Сотрудник 293","Работа над проектом M","Улучшил производительность на 8%","Обновлена база знаний","https://example.com/Сотрудник293","Прокачался в автоматизация","Улучшить документацию по API","8","8","3"
"Сотрудник 294","Работа над проектом O","Оптимизировал подписку (+1% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник294","Прокачался в CI/CD","Улучшить документацию по документации","5","7","2"
"Сотрудник 295","Работа над проектом A","Сократил время обработки на 10%","SLA соблюдены на 99.7%","https://example.com/Сотрудник295","Прокачался в автоматизация","Улучшить документацию по базам данных","9","10","3"
"Сотрудник 296","Работа над проектом S","Снизил количество алертов на 6%","Запуск без багов","https://example.com/Сотрудник296","Прокачался в оптимизация","Улучшить документацию по процессам","10","6","3"
"Сотрудник 297","Работа над проектом H","Оптимизировал подписку (+3% конверсии)","Обновлена база знаний","https://example.com/Сотрудник297","Прокачался в микросервисы","Улучшить документацию по микросервисам","7","6","3"
"Сотрудник 298","Работа над проектом V","Сократил время обработки на 15%","Достигнуты целевые показатели","https://example.com/Сотрудник298","Прокачался в оптимизация","Улучшить документацию по API","9","7","3"
